category,title,publisher,year,type,link,authors,code,,,
Travelling Salesman Problem; Vehicle Routing Problem,Distilling Autoregressive Models to Obtain High-Performance Non-autoregressive Solvers for Vehicle Routing Problems with Faster Inference Speed,AAAI,2024,paper,https://arxiv.org/abs/2312.12469,"Yubin Xiao, Di Wang, Boyang Li, Mingzhao Wang, Xuan Wu, Changliang Zhou, You Zhou",https://github.com/xybFight/GNARKD,,,
Travelling Salesman Problem,Learning to Sparsify Travelling Salesman Problem Instances,CPAIOR,2021,paper,https://dx.doi.org/10.1007/978-3-030-78230-6_26,"James Fitzpatrick, Deepak Ajwani, Paula Carroll",,,,
Travelling Salesman Problem,Position: Rethinking Post-Hoc Search-Based Neural Approaches for Solving Large-Scale Traveling Salesman Problems,ICML,2024,paper,https://arxiv.org/abs/2406.03503,"Yifan Xia, Xianliang Yang, Zichuan Liu, Zhihao Liu, Lei Song, Jiang Bian",https://github.com/xyfffff/rethink_mcts_for_tsp,,,
Travelling Salesman Problem;Sorting & Ranking;Maximal Cut,Neural Improvement Heuristics for Graph Combinatorial Optimization Problems,TNNLS,2023,journal,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271315&casa_token=Hqn_wH2HAjEAAAAA:rTd6KVaoKVjrFWASa-Ma0vC6CBvsmMUHnoWik2DyD56NbnfNOqBG5qZTBLR5hqf9vpCotivB_BU&tag=1,"Andoni I. Garmendia, Josu Ceberio, Alexander Mendiburu",https://github.com/TheLeprechaun25/neural-improvement-heuristics,,,
Travelling Salesman Problem;Maximal Cut;Maximum Independent Set,MARCO: A Memory-Augmented Reinforcement Framework for Combinatorial Optimization,IJCAI,2024,paper,https://www.ijcai.org/proceedings/2024/0766.pdf,"Andoni I. Garmendia, Quentin Cappart, Josu Ceberio, Alexander Mendiburu",https://github.com/TheLeprechaun25/MARCO,,,
Travelling Salesman Problem; Vehicle Routing Problem,Neural Combinatorial Optimization for Robust Routing Problem with Uncertain Travel Times,NeurIPS,2024,paper,https://openreview.net/pdf?id=DoewNm2uT3,"Pei Xiao, Zizhen Zhang, Jinbiao Chen, Jiahai Wang, Zhenzhen Zhang",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Collaboration! Towards Robust Neural Methods for Routing Problems,NeurIPS,2024,paper,https://openreview.net/forum?id=YfQA78gEFA,"Jianan Zhou, Yaoxin Wu, Zhiguang Cao, Wen Song, Jie Zhang, Zhiqi Shen",https://github.com/RoyalSkye/Routing-CNF,,,
Travelling Salesman Problem; Vehicle Routing Problem; Orienteering Problem,UDC: A Unified Neural Divide-and-Conquer Framework for Large-Scale Combinatorial Optimization Problems,NeurIPS,2024,paper,https://openreview.net/pdf?id=dCgbyvmlwL,"Zhi Zheng, Changliang Zhou, Tong Xialiang, Mingxuan Yuan, Zhenkun Wang",https://github.com/CIAM-Group/NCO_code/tree/main/single_objective/UDC-Large-scale-CO-master,,,
Travelling Salesman Problem,Learning to Handle Complex Constraints for Vehicle Routing Problems,NeurIPS,2024,paper,https://openreview.net/forum?id=Ktx95ZuRjP,"Jieyi Bi, Yining Ma, Jianan Zhou, Wen Song, Zhiguang Cao, Yaoxin Wu, Jie Zhang",,,,
Travelling Salesman Problem; Maximum Independent Set,⭐Fast T2T: Optimization Consistency Speeds Up Diffusion-Based Training-to-Testing Solving for Combinatorial Optimization,NeurIPS,2024,paper,https://openreview.net/pdf?id=xDrKZOZEOc,"Yang Li, Jinpei Guo, Runzhong Wang, Hongyuan Zha, Junchi Yan",https://github.com/Thinklab-SJTU/Fast-T2T,,,
Travelling Salesman Problem; Vehicle Routing Problem;Knapsack,Rethinking Neural Multi-Objective Combinatorial Optimization via Neat Weight Embedding,ICLR,2025,paper,https://openreview.net/forum?id=GM7cmQfk2F,"Jinbiao Chen, Zhiguang Cao, Jiahai Wang, Yaoxin Wu, Hanzhang Qin, Zizhen Zhang, Yue-Jiao Gong",,,,
Travelling Salesman Problem,Neural Multi-Objective Combinatorial Optimization via Graph-Image Multimodal Fusion,ICLR,2025,paper,https://openreview.net/forum?id=4sJ2FYE65U,"Jinbiao Chen, Jiahai Wang, Zhiguang Cao, Yaoxin Wu",,,,
Travelling Salesman Problem; Vehicle Routing Problem,Boosting Neural Combinatorial Optimization for Large-Scale Vehicle Routing Problems,ICLR,2025,paper,https://openreview.net/forum?id=TbTJJNjumY,"Fu Luo, Xi Lin, Yaoxin Wu, Zhenkun Wang, Tong Xialiang, Mingxuan Yuan, Qingfu Zhang",,,,
Travelling Salesman Problem; Boolean Satisfiability; Hamiltonian Cycle Problem,⭐UniCO: On Unified Combinatorial Optimization via Problem Reduction to Matrix-Encoded General TSP,ICLR,2025,paper,https://openreview.net/forum?id=yEwakMNIex,"Wenzheng Pan, Hao Xiong, Jiale Ma, Wentao Zhao, Yang Li, Junchi Yan",https://github.com/Thinklab-SJTU/UniCO,,,
Travelling Salesman Problem,Efficient and Robust Neural Combinatorial Optimization via Wasserstein-Based Coresets,ICLR,2025,paper,https://openreview.net/forum?id=F57HPKZ6KD,"Xu Wang, Fuyou Miao, Wenjie Liu, Yan Xiong",,,,
Travelling Salesman Problem,⭐Unify ML4TSP: Drawing Methodological Principles for TSP and Beyond from Streamlined Design Space of Learning and Search,ICLR,2025,paper,https://openreview.net/pdf?id=grU1VKEOLi,"Yang Li, Jiale Ma, Wenzheng Pan, Runzhong Wang, Haoyu Geng, Nianzu Yang, Junchi Yan",https://github.com/Thinklab-SJTU/ML4TSPBench,,,
Travelling Salesman Problem; Maximal Cut; Vehicle Routing Problem; Maximum Independent Set; Max Clique; Vertex Cover,⭐ML4CO-Bench-101: Benchmark Machine Learning for Classic Combinatorial Problems on Graphs,NeurIPS,2025,paper,https://openreview.net/forum?id=ye4ntB1Kzi,"Jiale Ma, Wenzheng Pan, Yang Li, Junchi Yan",https://github.com/Thinklab-SJTU/ML4CO-Bench-101,,,
Travelling Salesman Problem; Maximal Cut; Vehicle Routing Problem; Maximum Independent Set; Max Clique; Vertex Cover,⭐COExpander: Adaptive Solution Expansion for Combinatorial Optimization,ICML,2025,paper,https://openreview.net/forum?id=KMaBXMWsBM,"Jiale Ma, Wenzheng Pan, Yang Li, Junchi Yan",https://github.com/Thinklab-SJTU/COExpander,,,
Travelling Salesman Problem; Vehicle Routing Problem; Maximum Independent Set; Vertex Cover; Job Shop Scheduling Problem,Large Language Models as End-to-end Combinatorial Optimization Solvers,NeurIPS,2025,paper,https://neurips.cc/virtual/2025/loc/san-diego/poster/115835,"Xia Jiang, Yaoxin Wu, Minshuo Li, Zhiguang Cao, Yingqian Zhang",https://github.com/Summer142857/LLMCoSolver,,,
Travelling Salesman Problem; Vehicle Routing Problem; Bin Packing Problem,Generalizable Heuristic Generation Through LLMs with Meta-Optimization,ICLR,2026,paper,https://arxiv.org/abs/2505.20881,"Yiding Shi, Jianan Zhou, Wen Song, Jieyi Bi, Yaoxin Wu, Zhiguang Cao, Jie Zhang",https://github.com/yiding-s/MoH,,,
Vehicle Routing Problem; Travelling Salesman Problem; Bin Packing Problem,DRAGON: LLM-Driven Decomposition and Reconstruction Agents for Large-Scale Combinatorial Optimization,AAMAS,2026,paper,https://arxiv.org/abs/2601.06502,"Shengkai Chen, Zhiguang Cao, Jianan Zhou, Yaoxin Wu, Senthilnath Jayavelu, Zhuoyi Lin, Xiaoli Li, Shili Xiang",,,,
Vehicle Routing Problem; Travelling Salesman Problem,Bridging Synthetic and Real Routing Problems via LLM-Guided Instance Generation and Progressive Adaptation,AAAI,2026,paper,https://arxiv.org/abs/2511.10233,"Jianghan Zhu, Yaoxin Wu, Zhuoyi Lin, Zhengyuan Zhang, Haiyan Yin, Zhiguang Cao, Senthilnath Jayavelu, Xiaoli Li",https://github.com/HenryZhu1029/EvoReal,,,
Vehicle Routing Problem; Travelling Salesman Problem; Bin Packing Problem,EoH-S: Evolution of Heuristic Set using LLMs for Automated Heuristic Design,AAAI,2026,paper,https://arxiv.org/abs/2508.03082,"Fei Liu, Yilu Liu, Qingfu Zhang, Xialiang Tong, Mingxuan Yuan",https://github.com/FeiLiu36/EoH-S,,,
Vehicle Routing Problem,Refining Hybrid Genetic Search for CVRP via Reinforcement Learning-Finetuned LLM,ICLR,2026,paper,https://arxiv.org/abs/2510.11121,"Rongjie Zhu, Cong Zhang, Zhiguang Cao",https://github.com/zaodushi/RFTHGS,,,
Vehicle Routing Problem,RRNCO: Towards Real-World Routing with Neural Combinatorial Optimization,ICLR,2026,paper,https://arxiv.org/abs/2503.16159,"Jiwoo Son, Zhikai Zhao, Federico Berto, Chuanbo Hua, Zhiguang Cao, Changhyun Kwon, Jinkyoo Park",https://github.com/ai4co/real-routing-nco,,,
Vehicle Routing Problem,Chain-of-Context Learning: Dynamic Constraint Understanding for Multi-Task VRPs,ICLR,2026,paper,https://openreview.net/forum?id=AhE6aSlz5g,"Shuangchun Gui, Suyu Liu, Xuehe Wang, Zhiguang Cao",https://github.com/gshuangchun/CCL-MTLVRP,,,
Vehicle Routing Problem,RADAR: Learning to Route with Asymmetry-aware Distance Representations,ICLR,2026,paper,https://openreview.net/forum?id=lWdxX5s9T1,"Hang Yi, Ziwei Huang, Yining Ma, Zhiguang Cao",https://github.com/yihang0410/RADAR,,,
Vehicle Routing Problem,Combination-of-Experts with Knowledge Sharing for Cross-Task Vehicle Routing Problems,ICLR,2026,paper,https://openreview.net/forum?id=lHBs9mbgwp,"Zikang Yu, Jinbiao Chen, Jiahai Wang",https://github.com/yuzikang0/CoEKS,,,
Vehicle Routing Problem,An Agentic Framework with LLMs for Solving Complex Vehicle Routing Problems,ICLR,2026,paper,https://openreview.net/forum?id=BMOgYw4EhQ,"Ni Zhang, Zhiguang Cao, Jianan Zhou, Cong Zhang, Yew-Soon Ong",https://github.com/ZHANG-NI/AFL,,,
Vehicle Routing Problem,Learning to Segment for Vehicle Routing Problems,ICLR,2026,paper,https://arxiv.org/abs/2507.01037,"Wenbin Ouyang, Sirui Li, Yining Ma, Cathy Wu",https://github.com/mit-wu-lab/learning-to-segment,,,
Travelling Salesman Problem; Vehicle Routing Problem,G-LNS: Generative Large Neighborhood Search for LLM-Based Automatic Heuristic Design,Arxiv,2026,paper,https://arxiv.org/abs/2602.08253,"Baoyun Zhao, He Wang, Liang Zeng",https://github.com/ZBoyn/G-LNS,,,
Travelling Salesman Problem; Vehicle Routing Problem,Beyond Simple Graphs: Neural Multi-Objective Routing on Multigraphs,ICLR,2026,paper,https://arxiv.org/abs/2506.22095,"Filip Rydin, Attila Lischka, Jiaming Wu, Morteza Haghir Chehreghani, Balazs Kulcsar",https://github.com/filiprydin/GMS,,,
Travelling Salesman Problem; Vehicle Routing Problem; Maximum Independent Set,⭐MaskCO: Masked Generation Drives Effective Representation Learning and Exploiting for Combinatorial Optimization,ICLR,2026,paper,https://openreview.net/forum?id=psUjNnLhl9,"Lvda Chen, Yang Li, Junchi Yan",https://github.com/Thinklab-SJTU/MaskCO,,,
Travelling Salesman Problem; Vehicle Routing Problem,Towards Efficient Constraint Handling in Neural Solvers for Routing Problems,ICLR,2026,paper,https://openreview.net/forum?id=raDFGuQxvD,"Jieyi Bi, Zhiguang Cao, Jianan Zhou, Wen Song, Yaoxin Wu, Jie Zhang, Yining Ma, Cathy Wu",https://github.com/jieyibi/CaR-constraint,,,
Vertex Cover; Maximum Independent Set; Max Clique,⭐ConRep4CO: Contrastive Representation Learning of Combinatorial Optimization Instances across Types,ICLR,2026,paper,https://openreview.net/forum?id=OXRnvOOiAf,"Ziao Guo, Yang Li, Shiyue Wang, Junchi Yan",https://github.com/Thinklab-SJTU/ConRep4CO,,,
Travelling Salesman Problem; Maximum Independent Set; Vehicle Routing Problem,⭐Native Adaptive Solution Expansion for Diffusion-based Combinatorial Optimization,ICLR,2026,paper,https://openreview.net/forum?id=084SvT55yk,"Yu Wang, Yang Li, Jiale Ma, Junchi Yan, Yi Chang",,,,
Travelling Salesman Problem,ViTSP: A Vision Language Models Guided Framework for Solving Large-Scale Traveling Salesman Problems,ICLR,2026,paper,https://arxiv.org/abs/2509.23465,"Zhuoli Yin, Yi Ding, Reem Khir, Hua Cai",https://github.itap.purdue.edu/uSMART/ViTSP_ICLR2026,,,
Travelling Salesman Problem; Maximum Independent Set,FrontierCO: Real-World and Large-Scale Evaluation of Machine Learning Solvers for Combinatorial Optimization,ICLR,2026,paper,https://openreview.net/forum?id=BVprkacwFY,"Shengyu Feng, Weiwei Sun, Shanda Li, Ameet Talwalkar, Yiming Yang",https://github.com/sunnweiwei/FrontierCO,,,
Job Shop Scheduling Problem; Vehicle Routing Problem; Flow Shop Problem,Multi-Action Self-Improvement for Neural Combinatorial Optimization,ICLR,2026,paper,https://arxiv.org/abs/2510.12273,"Laurin Luttmann, Lin Xie",https://github.com/LTluttmann/macsim,,,
Job Shop Scheduling Problem,ReSched: Rethinking Flexible Job Shop Scheduling from a Transformer-based Architecture with Simplified States,ICLR,2026,paper,https://iclr.cc/virtual/2026/poster/10007089,"Xiangjie Xiao, Zhiguang Cao, Cong Zhang, Wen Song",https://github.com/XiangjieXiao/ReSched,,,
Vehicle Routing Problem,Deep Reinforcement Learning for the Electric Vehicle Routing Problem with Time Windows.,Arxiv,2020,paper,https://arxiv.org/abs/2010.02068,"Bo Lin, Bissan Ghaddar, Jatin Nathwani",,,,
Vehicle Routing Problem,"Efficiently Solving the Practical,Vehicle Routing Problem: A Novel Joint Learning Approach.",KDD,2020,paper,https://www.kdd.org/kdd2020/accepted-papers/view/efficiently-solving-the-practical-vehicle-routing-problem-a-novel-joint-lea,"Lu Duan, Yang Zhan, Haoyuan Hu, Yu Gong, Jiangwen Wei, Xiaodong Zhang, Yinghui Xu",,,,
Vehicle Routing Problem; Computing Resource Allocation,Learning to Perform Local Rewriting for Combinatorial Optimization.,NeurIPS,2019,paper,https://arxiv.org/abs/1810.00337,"Xinyun Chen, Yuandong Tian",https://github.com/facebookresearch/neural-rewriter,,,
Vehicle Routing Problem,Reinforcement Learning with Combinatorial Actions: An Application to Vehicle Routing,NeurIPS,2020,paper,https://papers.nips.cc/paper/2020/file/06a9d51e04213572ef0720dd27a84792-Paper.pdf,"Arthur Delarue, Ross Anderson, Christian Tjandraatmadja",https://github.com/google-research/tf-opt,,,
Vehicle Routing Problem,A Learning-based Iterative Method for Solving Vehicle Routing Problems,ICLR,2020,paper,https://static.aminer.cn/upload/pdf/program/5e5e18dd93d709897ce3720b_0.pdf,"Hao Lu, Xingwen Zhang, Shuang Yang",,,,
Vehicle Routing Problem,Multi-Decoder Attention Model with Embedding Glimpse for Solving Vehicle Routing Problems.,AAAI,2021,paper,https://arxiv.org/abs/2012.10638,"Liang Xin, Wen Song, Zhiguang Cao, Jie Zhang",https://github.com/liangxinedu/MDAM,,,
Vehicle Routing Problem,Analytics and Machine Learning in Vehicle Routing Research,Arxiv,2021,paper ,https://arxiv.org/abs/2102.10012,"Ruibin Bai, Xinan Chen, Zhi-Long Chen, Tianxiang Cui, Shuhui Gong, Wentao He, Xiaoping Jiang, Huan Jin, Jiahuan Jin, Graham Kendall, others",,,,
Vehicle Routing Problem,RP-DQN: An application of Q-Learning to Vehicle Routing Problems,Arxiv,2021,paper,https://arxiv.org/abs/2104.12226,"Ahmad Bdeir, Simon Boeder, Tim Dernedde, Kirill Tkachuk, Jonas K Falkner, Lars Schmidt-Thieme",,,,
Vehicle Routing Problem,Deep Policy Dynamic Programming for Vehicle Routing Problems,Arxiv,2021,paper,https://arxiv.org/abs/2102.11756,"Wouter Kool, Herke van Hoof, Joaquim Gromicho, Max Welling",,,,
Vehicle Routing Problem,Neural Large Neighborhood Search for the Capacitated Vehicle Routing Problem,Arxiv,2020,paper,https://arxiv.org/abs/1911.09539,"Andre Hottung, Kevin Tierney",,,,
Vehicle Routing Problem,Learning to Delegate for Large-scale Vehicle Routing,NeurIPS,2021,paper,https://proceedings.neurips.cc/paper/2021/hash/dc9fa5f217a1e57b8a6adeb065560b38-Abstract.html,"Sirui Li, Zhongxia Yan, Cathy Wu",,,,
Vehicle Routing Problem,Learning a Latent Search Space for Routing Problems using Variational Autoencoders,ICLR,2021,paper,https://openreview.net/forum?id=90JprVrJBO,"Andre Hottung, Bhanu Bhandari, Kevin Tierney",,,,
Vehicle Routing Problem,A Scalable Learning Approach for the Capacitated Vehicle Routing Problem,Computers and Operations Research,2024,journal,https://dx.doi.org/10.1016/j.cor.2024.106787,"James Fitzpatrick, Deepak Ajwani, Paula Carroll",,,,
Vehicle Routing Problem,Learning to Prune Electric Vehicle Routing Problems,LION,2023,paper,https://link.springer.com/chapter/10.1007/978-3-031-44505-7_26,"James Fitzpatrick, Deepak Ajwani, Paula Carroll",,,,
Vehicle Routing Problem; Bin Packing Problem,A Neural Column Generation Approach to the Vehicle Routing Problem with Two-Dimensional Loading and Last-In-First-Out Constraints,IJCAI,2024,paper,https://www.ijcai.org/proceedings/2024/0218.pdf,"Yifan Xia, Xiangyi Zhang",https://github.com/xyfffff/NCG-for-2L-CVRP,,,
Computing Resource Allocation,Resource Management with Deep Reinforcement Learning.,HotNets,2016,paper,https://dl.acm.org/doi/abs/10.1145/3005745.3005750,"Hongzi Mao, Mohammad Alizadeh, Ishai Menache, Srikanth Kandula",,,,
Computing Resource Allocation,Learning Scheduling Algorithms for Data Processing Clusters,SIGCOMM,2019,paper,https://static.aminer.cn/storage/pdf/arxiv/18/1810/1810.01963.pdf,"Hongzi Mao, Malte Schwarzkopf, Bojja Shaileshh Venkatakrishnan, Zili Meng, Mohammad Alizadeh",https://github.com/hongzimao/decima-sim,,,
Computing Resource Allocation,Smart Resource Allocation for Mobile Edge Computing: A Deep Reinforcement Learning Approach,IEEE Transactions on Emerging Topics in Computing,2019,Paper,https://ieeexplore.ieee.org/abstract/document/8657791,"Lei Zhao Jiadai, Nei Kato Jiajia Liu",,,,
Computing Resource Allocation,A Two-stage Framework and Reinforcement Learning-based Optimization Algorithms for Complex Scheduling Problems,Arxiv ,2021,paper ,https://arxiv.org/abs/2103.05847,"Yongming He, Guohua Wu, Yingwu Chen, Witold Pedrycz",,,,
Bin Packing Problem,Small Boxes Big Data: A Deep Learning Approach to Optimize Variable Sized Bin Packing,BigDataService,2017,paper,https://ieeexplore.ieee.org/abstract/document/7944923/?casa_token=mRzI_XBy3ycAAAAA:yD9Le2KBNq1TMpW_1etb0RF-oFVcLJj9Up0Z2qI6XJmA-UffxxSZRIx7RklaQED-yXwuwBC4M_w,"Feng Mao, Edgar Blanco, Mingang Fu, Rohit Jain, Anurag Gupta, Sebastien Mancel, Rong Yuan, Stephen Guo, Sai Kumar, Yayang Tian",,,,
Bin Packing Problem,Solving a New 3D Bin Packing Problem with Deep Reinforcement Learning Method,Arxiv,2017,paper,https://arxiv.org/abs/1708.05930,"Haoyuan Hu, Xiaodong Zhang, Xiaowei Yan, Longfei Wang, Yinghui Xu",,,,
Bin Packing Problem,Best Arm Identification in Multi-armed Bandits with Delayed Feedback,PMLR,2018,paper,http://proceedings.mlr.press/v84/grover18b.html,"Aditya Grover, Todor Markov, Peter Attia, Norman Jin, Nicolas Perkins, Bryan Cheong, Michael Chen, Zi Yang, Stephen Harris, William Chueh, others",,,,
Bin Packing Problem,A Multi-task Selected Learning Approach for Solving 3D Bin Packing Problem.,AAMAS,2019,paper,https://arxiv.org/abs/1804.06896,"Lu Duan, Haoyuan Hu, Yu Qian, Yu Gong, Xiaodong Zhang, Yinghui Xu, Jiangwen Wei",,,,
Bin Packing Problem,Ranked Reward: Enabling Self-Play Reinforcement Learning for Combinatorial Optimization Alexandre,Arxiv,2018,paper,https://arxiv.org/abs/1807.01672,"Alexandre Laterre, Yunguan Fu, Mohamed Khalil Jabri, Alain-Sam Cohen, David Kas, Karl Hajjar, Torbjorn S Dahl, Amine Kerkeni, Karim Beguir",,,,
Bin Packing Problem,A Data-Driven Approach for Multi-level Packing Problems in Manufacturing Industry,KDD,2019,paper,https://dl.acm.org/doi/abs/10.1145/3292500.3330708,"Lei Chen, Xialiang Tong, Mingxuan Yuan, Jia Zeng, Lei Chen",,,,
Bin Packing Problem,Solving Packing Problems by Conditional Query Learning,OpenReview,2019,paper,https://openreview.net/forum?id=BkgTwRNtPB,"Dongda Li, Changwei Ren, Zhaoquan Gu, Yuexuan Wang, Francis Lau",,,,
Bin Packing Problem,RePack: Dense Object Packing Using Deep CNN with Reinforcement Learning,CACS,2019,paper,https://ieeexplore.ieee.org/abstract/document/9024360/?casa_token=ScXezdDDiwMAAAAA:fglP_vbiQUJgLZcM7YZyqnDh_qA8jOjIh-zbH7ru0XSVBghh8OAxpThOU3BqhBeet4NlSrdHPcU,"Yu-Cheng Chu, Horng-Horng Lin",,,,
Bin Packing Problem,Online 3D Bin Packing with Constrained Deep Reinforcement Learning.,AAAI,2021,paper,https://arxiv.org/abs/2006.14978,"Hang Zhao, Qijin She, Chenyang Zhu, Yin Yang, Kai Xu",https://github.com/alexfrom0815/Online-3D-BPP-DRL,,,
Bin Packing Problem,A Generalized Reinforcement Learning Algorithm for Online 3D Bin-Packing.,AAAI Workshop,2020,paper,https://arxiv.org/abs/2007.00463,"Richa Verma, Aniruddha Singhal, Harshad Khadilkar, Ansuma Basumatary, Siddharth Nayak, Harsh Vardhan Singh, Swagat Kumar, Rajesh Sinha",,,,
Bin Packing Problem,Robot Packing with Known Items and Nondeterministic Arrival Order.,TASAE,2020,paper,https://ieeexplore.ieee.org/abstract/document/9205914/,"Fan Wang, Kris Hauser",,,,
Bin Packing Problem,TAP-Net: Transport-and-Pack using Reinforcement Learning.,TOG,2020,paper,https://dl.acm.org/doi/abs/10.1145/3414685.3417796,"Ruizhen Hu, Juzhan Xu, Bin Chen, Minglun Gong, Hao Zhang, Hui Huang",https://github.com/Juzhan/TAP-Net,,,
Bin Packing Problem,Simultaneous Planning for Item Picking and Placing by Deep Reinforcement Learning,IROS,2020,paper,http://ras.papercept.net/images/temp/IROS/files/0330.pdf,"Tatsuya Tanaka, Toshimitsu Kaneko, Masahiro Sekine, Voot Tangkaratt, Masashi Sugiyama",,,,
Bin Packing Problem,Monte Carlo Tree Search on Perfect Rectangle Packing Problem Instances,GECCO,2020,paper,https://dl.acm.org/doi/abs/10.1145/3377929.3398115,"Igor Pejic, Daan van den Berg",,,,
Bin Packing Problem,PackIt: A Virtual Environment for Geometric Planning,ICML,2020,paper,http://proceedings.mlr.press/v119/goyal20b.html,"Ankit Goyal, Jia Deng",https://github.com/princeton-vl/PackIt,,,
Bin Packing Problem,Learning Practically Feasible Policies for Online 3D Bin Packing,Arxiv,2021,paper,https://arxiv.org/abs/2108.13680,"Hang Zhao, Chenyang Zhu, Xin Xu, Hui Huang, Kai Xu",,,,
Bin Packing Problem,Attend2Pack: Bin Packing through Deep Reinforcement Learning with Attention,ICML Workshop,2021,paper,https://arxiv.org/abs/2107.04333,"Jingwei Zhang, Bin Zi, Xiaoyu Ge",,,,
Bin Packing Problem,Solving 3D bin packing problem via multimodal deep reinforcement learning,AAMAS,2021,paper,https://www.ifaamas.org/Proceedings/aamas2021/pdfs/p1548.pdf,"Yuan, Zhiguang Cao Jiang, Jie Zhang",,,,
Bin Packing Problem,Reinforcement learning driven heuristic optimization,Arxiv,2019,paper,https://arxiv.org/pdf/1906.06639.pdf,"Qingpeng Cai, Will Hang, Azalia Mirhoseini, George Tucker, Jingtao Wang, Wei Wei",,,,
Bin Packing Problem,Learning to Solve 3-D Bin Packing Problem via Deep Reinforcement Learning and Constraint Programming,IEEE transactions on cybernetics,2021,paper,https://ieeexplore.ieee.org/document/9606618/,"Yuan Jiang, Zhiguang Cao, Jie Zhang",,,,
Bin Packing Problem,Learning to Pack: A Data-Driven Tree Search Algorithm for Large-Scale 3D Bin Packing Problem,CIKM,2021,paper,https://dl.acm.org/doi/abs/10.1145/3459637.3481933,"Qianwen Zhu, Xihan Li, Zihan Zhang, Zhixing Luo, Xialiang Tong, Mingxuan Yuan, Jia Zeng",,,,
Bin Packing Problem,Learning Efficient Online 3D Bin Packing on Packing Configuration Trees.,ICLR,2022,paper,https://openreview.net/forum?id=bfuGjlCwAq,"Hang Zhao, Kai Xu",,,,
Bin Packing Problem,Improved Algorithms for Multi-period Multi-class Packing Problemswith Bandit Feedback,ICML,2023,paper,https://icml.cc/virtual/2023/poster/24252,"Wonyoung Kim, Garud Iyengar, Assaf Zeevi",,,,
Bin Packing Problem,Adjustable Robust Reinforcement Learning for Online 3D Bin Packing,NeurIPS,2023,paper,https://openreview.net/forum?id=1mdTYi1jAW,"Yuxin Pan, Yize Chen, Fangzhen Lin",,,,
Graph Edit Distance,SimGNN - A Neural Network Approach to Fast Graph Similarity Computation,WSDM,2019,paper,https://arxiv.org/abs/1808.05689,"Yunsheng Bai, Hao Ding, Song Bian, Ting Chen, Yizhou Sun, Wei Wang",https://github.com/yunshengb/SimGNN,,,
Graph Edit Distance,Graph Matching Networks for Learning the Similarity of Graph Structured Objects,ICML,2019,paper,https://arxiv.org/abs/1904.12787,"Yujia Li, Chenjie Gu, Thomas Dullien, Oriol Vinyals, Pushmeet Kohli",https://github.com/Lin-Yijie/Graph-Matching-Networks,,,
Graph Edit Distance; Computing Resource Allocation; Hamiltonian Cycle Problem,⭐A Bi-Level Framework for Learning to Solve Combinatorial Optimization on Graphs,NeurIPS,2021,paper,https://arxiv.org/abs/2106.04927,"Runzhong Wang, Zhigang Hua, Gan Liu, Jiayi Zhang, Junchi Yan, Feng Qi, Shuang Yang, Jun Zhou, Xiaokang Yang",https://github.com/Thinklab-SJTU/PPO-BiHyb,,,
Hamiltonian Cycle Problem,VSAL: A Vision Solver with Adaptive Layouts for Graph Property Detection,WWW,2026,paper,https://arxiv.org/abs/2602.13880,"Jiahao Xie, Guangmo Tong",https://github.com/Jiahao-Xie-86/VSAL,,,
Graph Edit Distance,Convolutional Embedding for Edit Distance,SIGIR,2020,paper,https://dl.acm.org/doi/abs/10.1145/3397271.3401045,"Xinyan Dai, Xiao Yan, Kaiwen Zhou, Yuxuan Wang, Han Yang, James Cheng",https://github.com/xinyandai/string-embed,,,
Graph Edit Distance,Learning-Based Efficient Graph Similarity Computation via Multi-Scale Convolutional Set Matching,AAAI,2020,paper,https://ojs.aaai.org/index.php/AAAI/article/view/5720,"Yunsheng Bai, Hao Ding, Ken Gu, Yizhou Sun, Wei Wang",https://github.com/yunshengb/GraphSim,,,
Graph Edit Distance,⭐Combinatorial Learning of Graph Edit Distance via Dynamic Embedding.,CVPR,2021,paper,https://arxiv.org/abs/2011.15039,"Runzhong Wang, Tianqi Zhang, Tianshu Yu, Junchi Yan, Xiaokang Yang",https://github.com/Thinklab-SJTU/GENN-Astar,,,
Graph Edit Distance,Gelato: Graph Edit Distance via Autoregressive Neural Combinatorial Optimization,ICLR,2026,paper,https://openreview.net/forum?id=6ZTcLNmguc,"Paolo Pellizzoni, Till Hendrik Schulz, Karsten Borgwardt",https://github.com/BorgwardtLab/Gelato,,,
Graph Coloring,Deep Learning-based Hybrid Graph-Coloring Algorithm for Register Allocation.,Arxiv,2019,paper,https://arxiv.org/abs/1912.03700,"Dibyendu Das, Shahid Asghar Ahmad, Kumar Venkataramanan",,,,
Graph Coloring,Neural Models for Output-Space Invariance in Combinatorial Problems,ICLR,2022,paper,https://openreview.net/forum?id=ibrUkC-pbis,"Yatin Nandwani, Vidit Jain, Parag Singla, others",,,,
Graph Coloring,Enhancing Column Generation by a Machine-Learning-Based Pricing Heuristic for Graph Coloring,AAAI,2022,paper,https://www.aaai.org/AAAI22Papers/AAAI-4026.ShenY.pdf,"Yunzhuang, Yuan Sun, Xiaodong Li, Andrew Craig Eberhard Shen, Andreas T. Ernst.",https://github.com/Joey-Shen/MLPH.git,,,
